group,item,target,distractor,image,condition,SOA
A,45,wardrobe,table,wardrobeREL_negSOA.gif,REL,-150
A,46,plane,plane,planeNEU_negSOA.gif,NEU,-150
A,47,church,church,churchID_negSOA.gif,ID,-150
A,48,vest,ear,vestUNREL_negSOA.gif,UNREL,-150
A,49,swan,swan,swanID_negSOA.gif,ID,-150
A,50,bike,train,bikeREL_negSOA.gif,REL,-150
A,51,castle,castle,castleNEU_negSOA.gif,NEU,-150
A,52,pistol,bed,pistolUNREL_negSOA.gif,UNREL,-150
A,53,swan,tortoise,swanREL_negSOA.gif,REL,-150
A,54,church,church,churchNEU_negSOA.gif,NEU,-150
A,55,ear,ear,earID_negSOA.gif,ID,-150
A,56,table,sword,tableUNREL_negSOA.gif,UNREL,-150
A,57,leg,leg,legID_negSOA.gif,ID,-150
A,58,coat,vest,coatREL_negSOA.gif,REL,-150
A,59,arm,arm,armNEU_negSOA.gif,NEU,-150
A,60,sword,table,swordUNREL_negSOA.gif,UNREL,-150
A,61,sweater,skirt,sweaterREL_negSOA.gif,REL,-150
A,62,plate,plate,plateNEU_negSOA.gif,NEU,-150
A,63,plane,plane,planeID_negSOA.gif,ID,-150
A,64,car,leg,carUNREL_negSOA.gif,UNREL,-150
A,65,castle,castle,castleID_negSOA.gif,ID,-150
A,66,nose,arm,noseREL_negSOA.gif,REL,-150
A,67,glass,glass,glassNEU_negSOA.gif,NEU,-150
A,68,jug,windmill,jugUNREL_negSOA.gif,UNREL,-150
A,69,rabbit,deer,rabbitREL_negSOA.gif,REL,-150
A,70,wardrobe,wardrobe,wardrobeNEU_negSOA.gif,NEU,-150
A,71,jug,jug,jugID_negSOA.gif,ID,-150
A,72,bike,wardrobe,bikeUNREL_negSOA.gif,UNREL,-150
A,73,cup,cup,cupID_negSOA.gif,ID,-150
A,74,factory,windmill,factoryREL_negSOA.gif,REL,-150
A,75,bike,bike,bikeNEU_negSOA.gif,NEU,-150
A,76,nose,factory,noseUNREL_negSOA.gif,UNREL,-150
A,77,vest,coat,vestREL_negSOA.gif,REL,-150
A,78,nose,nose,noseNEU_negSOA.gif,NEU,-150
A,79,train,train,trainID_negSOA.gif,ID,-150
A,80,windmill,jug,windmillUNREL_negSOA.gif,UNREL,-150
A,81,pistol,pistol,pistolID_negSOA.gif,ID,-150
A,82,sword,dagger,swordREL_negSOA.gif,REL,-150
A,83,dagger,dagger,daggerNEU_negSOA.gif,NEU,-150
A,84,church,rabbit,churchUNREL_negSOA.gif,UNREL,-150
A,85,glass,plate,glassREL_negSOA.gif,REL,-150
A,86,tortoise,tortoise,tortoiseNEU_negSOA.gif,NEU,-150
A,87,windmill,windmill,windmillID_negSOA.gif,ID,-150
A,88,castle,coat,castleUNREL_negSOA.gif,UNREL,-150
A,89,sweater,sweater,sweaterID_negSOA.gif,ID,-150
A,90,deer,rabbit,deerREL_negSOA.gif,REL,-150
A,91,cannon,cannon,cannonNEU_negSOA.gif,NEU,-150
A,92,factory,nose,factoryUNREL_negSOA.gif,UNREL,-150
A,93,cannon,pistol,cannonREL_negSOA.gif,REL,-150
A,94,coat,coat,coatNEU_negSOA.gif,NEU,-150
A,95,nose,nose,noseID_negSOA.gif,ID,-150
A,96,cup,tortoise,cupUNREL_negSOA.gif,UNREL,-150
A,97,vest,vest,vestID_negSOA.gif,ID,-150
A,98,plate,glass,plateREL_negSOA.gif,REL,-150
A,99,rabbit,rabbit,rabbitNEU_negSOA.gif,NEU,-150
A,100,desk,deer,deskUNREL_negSOA.gif,UNREL,-150
A,101,dagger,sword,daggerREL_negSOA.gif,REL,-150
A,102,ear,ear,earNEU_negSOA.gif,NEU,-150
A,103,tortoise,tortoise,tortoiseID_negSOA.gif,ID,-150
A,104,cannon,plate,cannonUNREL_negSOA.gif,UNREL,-150
A,105,dagger,dagger,daggerID_negSOA.gif,ID,-150
A,106,jug,cup,jugREL_negSOA.gif,REL,-150
A,107,skirt,skirt,skirtNEU_negSOA.gif,NEU,-150
A,108,coat,castle,coatUNREL_negSOA.gif,UNREL,-150
A,109,cup,jug,cupREL_negSOA.gif,REL,-150
A,110,windmill,windmill,windmillNEU_negSOA.gif,NEU,-150
A,119,car,car,carID_negSOA.gif,ID,-150
A,112,glass,plane,glassUNREL_negSOA.gif,UNREL,-150
A,113,rabbit,rabbit,rabbitID_negSOA.gif,ID,-150
A,114,pistol,cannon,pistolREL_negSOA.gif,REL,-150
A,115,swan,swan,swanNEU_negSOA.gif,NEU,-150
A,116,wardrobe,bike,wardrobeUNREL_negSOA.gif,UNREL,-150
A,117,arm,nose,armREL_negSOA.gif,REL,-150
A,118,deer,deer,deerNEU_negSOA.gif,NEU,-150
A,111,sword,sword,swordID_negSOA.gif,ID,-150
A,120,leg,car,legUNREL_negSOA.gif,UNREL,-150
A,121,factory,factory,factoryID_negSOA.gif,ID,-150
A,122,ear,leg,earREL_negSOA.gif,REL,-150
A,123,bed,bed,bedNEU_negSOA.gif,NEU,-150
A,124,ear,vest,earUNREL_negSOA.gif,UNREL,-150
A,125,table,wardrobe,tableREL_negSOA.gif,REL,-150
A,126,sword,sword,swordNEU_negSOA.gif,NEU,-150
A,127,deer,deer,deerID_negSOA.gif,ID,-150
A,128,bed,pistol,bedUNREL_negSOA.gif,UNREL,-150
