group,item,target,distractor,image,condition,SOA
A,84,church,rabbit,church_UNREL.png,UNREL,0
A,85,glass,plate,glass_REL.png,REL,0
A,86,tortoise,tortoise,tortoise_NEU.png,NEU,0
A,87,windmill,windmill,windmill_ID.png,ID,0
A,88,castle,coat,castle_UNREL.png,UNREL,0
A,89,sweater,sweater,sweater_ID.png,ID,0
A,90,deer,rabbit,deer_REL.png,REL,0
A,91,cannon,cannon,cannon_NEU.png,NEU,0
A,92,factory,nose,factory_UNREL.png,UNREL,0
A,93,cannon,pistol,cannon_REL.png,REL,0
A,94,coat,coat,coat_NEU.png,NEU,0
A,95,nose,nose,nose_ID.png,ID,0
A,96,cup,tortoise,cup_UNREL.png,UNREL,0
A,97,vest,vest,vest_ID.png,ID,0
A,98,plate,glass,plate_REL.png,REL,0
A,99,rabbit,rabbit,rabbit_NEU.png,NEU,0
A,100,desk,deer,desk_UNREL.png,UNREL,0
A,101,dagger,sword,dagger_REL.png,REL,0
A,102,ear,ear,ear_NEU.png,NEU,0
A,103,tortoise,tortoise,tortoise_ID.png,ID,0
A,104,cannon,plate,cannon_UNREL.png,UNREL,0
A,105,dagger,dagger,dagger_ID.png,ID,0
A,106,jug,cup,jug_REL.png,REL,0
A,107,skirt,skirt,skirt_NEU.png,NEU,0
A,108,coat,castle,coat_UNREL.png,UNREL,0
A,109,cup,jug,cup_REL.png,REL,0
A,110,windmill,windmill,windmill_NEU.png,NEU,0
A,119,car,car,car_ID.png,ID,0
A,112,glass,plane,glass_UNREL.png,UNREL,0
A,113,rabbit,rabbit,rabbit_ID.png,ID,0
A,114,pistol,cannon,pistol_REL.png,REL,0
A,115,swan,swan,swan_NEU.png,NEU,0
A,116,wardrobe,bike,wardrobe_UNREL.png,UNREL,0
A,117,arm,nose,arm_REL.png,REL,0
A,118,deer,deer,deer_NEU.png,NEU,0
A,111,sword,sword,sword_ID.png,ID,0
A,120,leg,car,leg_UNREL.png,UNREL,0
A,121,factory,factory,factory_ID.png,ID,0
A,122,ear,leg,ear_REL.png,REL,0
A,123,bed,bed,bed_NEU.png,NEU,0
A,124,ear,vest,ear_UNREL.png,UNREL,0
A,125,table,wardrobe,table_REL.png,REL,0
A,126,sword,sword,sword_NEU.png,NEU,0
A,127,deer,deer,deer_ID.png,ID,0
A,128,bed,pistol,bed_UNREL.png,UNREL,0
