group,item,target,distractor,image,condition,SOA
A,81,pistol,pistol,pistolID_negSOA.gif,ID,-150
A,30,desk,desk,deskNEU_negSOA.gif,NEU,-150
A,84,church,rabbit,churchUNREL_negSOA.gif,UNREL,-150
A,122,ear,leg,earREL_negSOA.gif,REL,-150
A,89,sweater,sweater,sweaterID_posSOA.gif,ID,150
A,88,castle,coat,castle_UNREL.png,UNREL,0
A,61,sweater,skirt,sweaterREL_posSOA.gif,REL,150
A,34,train,bike,trainREL_negSOA.gif,REL,-150
A,9,cannon,cannon,cannonID_negSOA.gif,ID,-150
A,59,arm,arm,arm_NEU.png,NEU,0
A,21,windmill,factory,windmill_REL.png,REL,0
A,113,rabbit,rabbit,rabbitID_posSOA.gif,ID,150
A,23,plate,plate,plateID_negSOA.gif,ID,-150
A,89,sweater,sweater,sweaterID_negSOA.gif,ID,-150
A,94,coat,coat,coat_NEU.png,NEU,0
A,96,cup,tortoise,cup_UNREL.png,UNREL,0
A,4,plate,cannon,plateUNREL_negSOA.gif,UNREL,-150
A,13,skirt,sweater,skirt_REL.png,REL,0
A,69,rabbit,deer,rabbit_REL.png,REL,0
A,49,swan,swan,swanID_negSOA.gif,ID,-150
A,104,cannon,plate,cannonUNREL_posSOA.gif,UNREL,150
A,50,bike,train,bikeREL_negSOA.gif,REL,-150
A,17,bike,bike,bikeID_negSOA.gif,ID,-150
A,25,bed,bed,bedID_posSOA.gif,ID,150
A,5,castle,church,castleREL_posSOA.gif,REL,150
A,71,jug,jug,jugID_posSOA.gif,ID,150
A,45,wardrobe,table,wardrobe_REL.png,REL,0
A,90,deer,rabbit,deerREL_negSOA.gif,REL,-150
A,60,sword,table,sword_UNREL.png,UNREL,0
A,78,nose,nose,noseNEU_posSOA.gif,NEU,150
