group,item,target,distractor,image,image_2,condition,SOA
A,3,sweater,sweater,image/sweaterNEU_posSOA.png,image/sweaterNEU_posSOA2.png,NEU,150
A,95,nose,nose,image/noseID_posSOA.png,image/noseID_posSOA2.png,ID,150
A,29,leg,ear,image/legREL_negSOA.png,image/legREL_negSOA2.png,REL,-150
A,11,leg,leg,image/legNEU_negSOA.png,image/legNEU_negSOA2.png,NEU,-150
A,21,windmill,factory,image/windmillREL_posSOA.png,image/windmillREL_posSOA2.png,REL,150
A,24,swan,skirt,image/swanUNREL_posSOA.png,image/swanUNREL_posSOA2.png,UNREL,150
A,23,plate,plate,image/plate_ID.png,image/plate_ID2.png,ID,0
A,126,sword,sword,image/swordNEU_posSOA.png,image/swordNEU_posSOA2.png,NEU,150
A,119,car,car,image/carID_negSOA.png,image/carID_negSOA2.png,ID,-150
A,117,arm,nose,image/arm_REL.png,image/arm_REL2.png,REL,0
A,33,desk,desk,image/desk_ID.png,image/desk_ID2.png,ID,0
A,79,train,train,image/trainID_posSOA.png,image/trainID_posSOA2.png,ID,150
A,81,pistol,pistol,image/pistolID_negSOA.png,image/pistolID_negSOA2.png,ID,-150
A,30,desk,desk,image/deskNEU_negSOA.png,image/deskNEU_negSOA2.png,NEU,-150
A,84,church,rabbit,image/churchUNREL_negSOA.png,image/churchUNREL_negSOA2.png,UNREL,-150
A,122,ear,leg,image/earREL_negSOA.png,image/earREL_negSOA2.png,REL,-150
A,89,sweater,sweater,image/sweaterID_posSOA.png,image/sweaterID_posSOA2.png,ID,150
A,88,castle,coat,image/castle_UNREL.png,image/castle_UNREL2.png,UNREL,0
A,61,sweater,skirt,image/sweaterREL_posSOA.png,image/sweaterREL_posSOA2.png,REL,150
A,34,train,bike,image/trainREL_negSOA.png,image/trainREL_negSOA2.png,REL,-150
A,9,cannon,cannon,image/cannonID_negSOA.png,image/cannonID_negSOA2.png,ID,-150
A,59,arm,arm,image/arm_NEU.png,image/arm_NEU2.png,NEU,0
A,21,windmill,factory,image/windmill_REL.png,image/windmill_REL2.png,REL,0
A,113,rabbit,rabbit,image/rabbitID_posSOA.png,image/rabbitID_posSOA2.png,ID,150
A,23,plate,plate,image/plateID_negSOA.png,image/plateID_negSOA2.png,ID,-150
A,89,sweater,sweater,image/sweaterID_negSOA.png,image/sweaterID_negSOA2.png,ID,-150
A,94,coat,coat,image/coat_NEU.png,image/coat_NEU2.png,NEU,0
A,96,cup,tortoise,image/cup_UNREL.png,image/cup_UNREL2.png,UNREL,0
A,4,plate,cannon,image/plateUNREL_negSOA.png,image/plateUNREL_negSOA2.png,UNREL,-150
A,13,skirt,sweater,image/skirt_REL.png,image/skirt_REL2.png,REL,0
A,69,rabbit,deer,image/rabbit_REL.png,image/rabbit_REL2.png,REL,0
A,49,swan,swan,image/swanID_negSOA.png,image/swanID_negSOA2.png,ID,-150
A,104,cannon,plate,image/cannonUNREL_posSOA.png,image/cannonUNREL_posSOA2.png,UNREL,150
A,50,bike,train,image/bikeREL_negSOA.png,image/bikeREL_negSOA2.png,REL,-150
A,17,bike,bike,image/bikeID_negSOA.png,image/bikeID_negSOA2.png,ID,-150
A,25,bed,bed,image/bedID_posSOA.png,image/bedID_posSOA2.png,ID,150
A,5,castle,church,image/castleREL_posSOA.png,image/castleREL_posSOA2.png,REL,150
A,71,jug,jug,image/jugID_posSOA.png,image/jugID_posSOA2.png,ID,150
A,45,wardrobe,table,image/wardrobe_REL.png,image/wardrobe_REL2.png,REL,0
A,90,deer,rabbit,image/deerREL_negSOA.png,image/deerREL_negSOA2.png,REL,-150
A,60,sword,table,image/sword_UNREL.png,image/sword_UNREL2.png,UNREL,0
A,78,nose,nose,image/noseNEU_posSOA.png,image/noseNEU_posSOA2.png,NEU,150
