group,item,target,distractor,image,image_2,condition,SOA
A,105,dagger,dagger,image/daggerID_negSOA.png,image/daggerID_negSOA2.png,ID,-150
A,43,car,car,image/car_NEU.png,image/car_NEU2.png,NEU,0
A,47,church,church,image/church_ID.png,image/church_ID2.png,ID,0
A,13,skirt,sweater,image/skirtREL_posSOA.png,image/skirtREL_posSOA2.png,REL,150
A,98,plate,glass,image/plateREL_posSOA.png,image/plateREL_posSOA2.png,REL,150
A,110,windmill,windmill,image/windmill_NEU.png,image/windmill_NEU2.png,NEU,0
A,15,coat,coat,image/coat_ID.png,image/coat_ID2.png,ID,0
A,32,dagger,sweater,image/dagger_UNREL.png,image/dagger_UNREL2.png,UNREL,0
A,99,rabbit,rabbit,image/rabbitNEU_posSOA.png,image/rabbitNEU_posSOA2.png,NEU,150
A,64,car,leg,image/carUNREL_posSOA.png,image/carUNREL_posSOA2.png,UNREL,150
A,37,car,plane,image/carREL_posSOA.png,image/carREL_posSOA2.png,REL,150
A,55,ear,ear,image/earID_posSOA.png,image/earID_posSOA2.png,ID,150
A,115,swan,swan,image/swan_NEU.png,image/swan_NEU2.png,NEU,0
A,56,table,sword,image/tableUNREL_negSOA.png,image/tableUNREL_negSOA2.png,UNREL,-150
A,105,dagger,dagger,image/daggerID_posSOA.png,image/daggerID_posSOA2.png,ID,150
A,75,bike,bike,image/bikeNEU_negSOA.png,image/bikeNEU_negSOA2.png,NEU,-150
A,108,coat,castle,image/coatUNREL_negSOA.png,image/coatUNREL_negSOA2.png,UNREL,-150
A,81,pistol,pistol,image/pistol_ID.png,image/pistol_ID2.png,ID,0
A,3,sweater,sweater,image/sweater_NEU.png,image/sweater_NEU2.png,NEU,0
A,71,jug,jug,image/jug_ID.png,image/jug_ID2.png,ID,0
A,27,vest,vest,image/vest_NEU.png,image/vest_NEU2.png,NEU,0
A,61,sweater,skirt,image/sweater_REL.png,image/sweater_REL2.png,REL,0
A,34,train,bike,image/trainREL_posSOA.png,image/trainREL_posSOA2.png,REL,150
A,77,vest,coat,image/vest_REL.png,image/vest_REL2.png,REL,0
A,116,wardrobe,bike,image/wardrobeUNREL_posSOA.png,image/wardrobeUNREL_posSOA2.png,UNREL,150
A,126,sword,sword,image/sword_NEU.png,image/sword_NEU2.png,NEU,0
A,87,windmill,windmill,image/windmill_ID.png,image/windmill_ID2.png,ID,0
A,34,train,bike,image/train_REL.png,image/train_REL2.png,REL,0
A,13,skirt,sweater,image/skirtREL_negSOA.png,image/skirtREL_negSOA2.png,REL,-150
A,40,sweater,dagger,image/sweaterUNREL_negSOA.png,image/sweaterUNREL_negSOA2.png,UNREL,-150
A,118,deer,deer,image/deerNEU_negSOA.png,image/deerNEU_negSOA2.png,NEU,-150
A,60,sword,table,image/swordUNREL_posSOA.png,image/swordUNREL_posSOA2.png,UNREL,150
A,4,plate,cannon,image/plate_UNREL.png,image/plate_UNREL2.png,UNREL,0
A,94,coat,coat,image/coatNEU_posSOA.png,image/coatNEU_posSOA2.png,NEU,150
A,76,nose,factory,image/noseUNREL_negSOA.png,image/noseUNREL_negSOA2.png,UNREL,-150
A,7,wardrobe,wardrobe,image/wardrobe_ID.png,image/wardrobe_ID2.png,ID,0
A,118,deer,deer,image/deer_NEU.png,image/deer_NEU2.png,NEU,0
A,72,bike,wardrobe,image/bikeUNREL_negSOA.png,image/bikeUNREL_negSOA2.png,UNREL,-150
A,112,glass,plane,image/glassUNREL_posSOA.png,image/glassUNREL_posSOA2.png,UNREL,150
A,120,leg,car,image/leg_UNREL.png,image/leg_UNREL2.png,UNREL,0
A,46,plane,plane,image/plane_NEU.png,image/plane_NEU2.png,NEU,0
A,2,church,castle,image/church_REL.png,image/church_REL2.png,REL,0
A,1,table,table,image/table_ID.png,image/table_ID2.png,ID,0
A,2,church,castle,image/churchREL_posSOA.png,image/churchREL_posSOA2.png,REL,150
A,103,tortoise,tortoise,image/tortoise_ID.png,image/tortoise_ID2.png,ID,0
A,54,church,church,image/churchNEU_posSOA.png,image/churchNEU_posSOA2.png,NEU,150
A,50,bike,train,image/bike_REL.png,image/bike_REL2.png,REL,0
A,111,sword,sword,image/swordID_posSOA.png,image/swordID_posSOA2.png,ID,150
A,88,castle,coat,image/castleUNREL_posSOA.png,image/castleUNREL_posSOA2.png,UNREL,150
A,46,plane,plane,image/planeNEU_posSOA.png,image/planeNEU_posSOA2.png,NEU,150
A,14,factory,factory,image/factory_NEU.png,image/factory_NEU2.png,NEU,0
A,116,wardrobe,bike,image/wardrobe_UNREL.png,image/wardrobe_UNREL2.png,UNREL,0
A,63,plane,plane,image/plane_ID.png,image/plane_ID2.png,ID,0
A,101,dagger,sword,image/dagger_REL.png,image/dagger_REL2.png,REL,0
A,121,factory,factory,image/factory_ID.png,image/factory_ID2.png,ID,0
A,1,table,table,image/tableID_negSOA.png,image/tableID_negSOA2.png,ID,-150
A,9,cannon,cannon,image/cannon_ID.png,image/cannon_ID2.png,ID,0
A,37,car,plane,image/carREL_negSOA.png,image/carREL_negSOA2.png,REL,-150
A,28,plane,glass,image/planeUNREL_negSOA.png,image/planeUNREL_negSOA2.png,UNREL,-150
A,5,castle,church,image/castle_REL.png,image/castle_REL2.png,REL,0
A,76,nose,factory,image/nose_UNREL.png,image/nose_UNREL2.png,UNREL,0
A,38,train,train,image/train_NEU.png,image/train_NEU2.png,NEU,0
A,109,cup,jug,image/cup_REL.png,image/cup_REL2.png,REL,0
A,127,deer,deer,image/deerID_posSOA.png,image/deerID_posSOA2.png,ID,150
A,125,table,wardrobe,image/table_REL.png,image/table_REL2.png,REL,0
A,46,plane,plane,image/planeNEU_negSOA.png,image/planeNEU_negSOA2.png,NEU,-150
A,68,jug,windmill,image/jug_UNREL.png,image/jug_UNREL2.png,UNREL,0
A,58,coat,vest,image/coat_REL.png,image/coat_REL2.png,REL,0
A,18,bed,desk,image/bedREL_posSOA.png,image/bedREL_posSOA2.png,REL,150
A,74,factory,windmill,image/factoryREL_negSOA.png,image/factoryREL_negSOA2.png,REL,-150
A,51,castle,castle,image/castleNEU_negSOA.png,image/castleNEU_negSOA2.png,NEU,-150
