group,item,target,distractor,image,image_2,condition,SOA
A,31,bed,bed,image/bedNEU_negSOA.png,image/bedNEU_negSOA2.png,NEU,-150
A,32,leg,car,image/legUNREL_negSOA.png,image/legUNREL_negSOA2.png,UNREL,-150
A,33,wardrobe,table,image/wardrobeREL_negSOA.png,image/wardrobeREL_negSOA2.png,REL,-150
A,34,deer,desk,image/deerUNREL_negSOA.png,image/deerUNREL_negSOA2.png,UNREL,-150
A,35,vest,vest,image/vestNEU_negSOA.png,image/vestNEU_negSOA2.png,NEU,-150
A,36,pistol,bed,image/pistolUNREL_negSOA.png,image/pistolUNREL_negSOA2.png,UNREL,-150
A,37,vest,coat,image/vestREL_negSOA.png,image/vestREL_negSOA2.png,REL,-150
A,38,church,church,image/church_NEU.png,image/church_NEU2.png,NEU,0
A,39,rabbit,deer,image/rabbitREL_negSOA.png,image/rabbitREL_negSOA2.png,REL,-150
A,40,church,church,image/churchID_posSOA.png,image/churchID_posSOA2.png,ID,150
A,41,bed,pistol,image/bed_UNREL.png,image/bed_UNREL2.png,UNREL,0
A,42,desk,desk,image/desk_NEU.png,image/desk_NEU2.png,NEU,0
A,43,factory,factory,image/factoryID_negSOA.png,image/factoryID_negSOA2.png,ID,-150
A,44,coat,vest,image/coatREL_posSOA.png,image/coatREL_posSOA2.png,REL,150
A,45,factory,factory,image/factoryID_posSOA.png,image/factoryID_posSOA2.png,ID,150
A,46,plate,glass,image/plateREL_negSOA.png,image/plateREL_negSOA2.png,REL,-150
A,47,cannon,cannon,image/cannonNEU_posSOA.png,image/cannonNEU_posSOA2.png,NEU,150
A,48,glass,plate,image/glassREL_posSOA.png,image/glassREL_posSOA2.png,REL,150
A,49,train,arm,image/trainUNREL_posSOA.png,image/trainUNREL_posSOA2.png,UNREL,150
A,50,sweater,skirt,image/sweaterREL_negSOA.png,image/sweaterREL_negSOA2.png,REL,-150
A,51,cannon,pistol,image/cannonREL_negSOA.png,image/cannonREL_negSOA2.png,REL,-150
A,52,nose,nose,image/noseNEU_negSOA.png,image/noseNEU_negSOA2.png,NEU,-150
A,53,wardrobe,wardrobe,image/wardrobeID_negSOA.png,image/wardrobeID_negSOA2.png,ID,-150
A,54,ear,leg,image/earREL_posSOA.png,image/earREL_posSOA2.png,REL,150
A,55,swan,swan,image/swanNEU_posSOA.png,image/swanNEU_posSOA2.png,NEU,150
A,56,jug,cup,image/jugREL_posSOA.png,image/jugREL_posSOA2.png,REL,150
A,57,ear,vest,image/earUNREL_posSOA.png,image/earUNREL_posSOA2.png,UNREL,150
A,58,swan,swan,image/swan_ID.png,image/swan_ID2.png,ID,0
A,59,glass,glass,image/glassNEU_negSOA.png,image/glassNEU_negSOA2.png,NEU,-150
A,60,train,train,image/trainID_negSOA.png,image/trainID_negSOA2.png,ID,-150
A,61,arm,train,image/armUNREL_posSOA.png,image/armUNREL_posSOA2.png,UNREL,150
A,62,leg,leg,image/leg_NEU.png,image/leg_NEU2.png,NEU,0
A,63,bike,train,image/bikeREL_posSOA.png,image/bikeREL_posSOA2.png,REL,150
A,64,church,church,image/churchID_negSOA.png,image/churchID_negSOA2.png,ID,-150
A,65,dagger,dagger,image/daggerNEU_posSOA.png,image/daggerNEU_posSOA2.png,NEU,150
A,66,vest,vest,image/vest_ID.png,image/vest_ID2.png,ID,0
A,67,car,car,image/car_ID.png,image/car_ID2.png,ID,0
A,68,pistol,bed,image/pistol_UNREL.png,image/pistol_UNREL2.png,UNREL,0
A,69,cup,tortoise,image/cupUNREL_posSOA.png,image/cupUNREL_posSOA2.png,UNREL,150
A,70,car,leg,image/car_UNREL.png,image/car_UNREL2.png,UNREL,0
A,71,factory,factory,image/factoryNEU_negSOA.png,image/factoryNEU_negSOA2.png,NEU,-150
A,72,glass,glass,image/glass_ID.png,image/glass_ID2.png,ID,0
A,73,bed,bed,image/bedID_negSOA.png,image/bedID_negSOA2.png,ID,-150
A,74,car,leg,image/carUNREL_negSOA.png,image/carUNREL_negSOA2.png,UNREL,-150
A,75,tortoise,tortoise,image/tortoiseNEU_negSOA.png,image/tortoiseNEU_negSOA2.png,NEU,-150
A,76,car,plane,image/car_REL.png,image/car_REL2.png,REL,0
A,77,nose,arm,image/nose_REL.png,image/nose_REL2.png,REL,0
A,78,leg,leg,image/legNEU_posSOA.png,image/legNEU_posSOA2.png,NEU,150
A,79,bike,bike,image/bikeID_posSOA.png,image/bikeID_posSOA2.png,ID,150
A,80,plane,plane,image/planeID_posSOA.png,image/planeID_posSOA2.png,ID,150
A,81,cup,cup,image/cup_NEU.png,image/cup_NEU2.png,NEU,0
A,82,glass,plate,image/glass_REL.png,image/glass_REL2.png,REL,0
A,83,deer,rabbit,image/deer_REL.png,image/deer_REL2.png,REL,0
A,84,plate,plate,image/plateNEU_posSOA.png,image/plateNEU_posSOA2.png,NEU,150
A,85,leg,ear,image/legREL_posSOA.png,image/legREL_posSOA2.png,REL,150
A,86,dagger,sword,image/daggerREL_posSOA.png,image/daggerREL_posSOA2.png,REL,150
A,87,jug,jug,image/jugNEU_posSOA.png,image/jugNEU_posSOA2.png,NEU,150
A,88,church,castle,image/churchREL_negSOA.png,image/churchREL_negSOA2.png,REL,-150
A,89,skirt,skirt,image/skirt_ID.png,image/skirt_ID2.png,ID,0
A,90,bike,bike,image/bike_NEU.png,image/bike_NEU2.png,NEU,0
A,91,table,sword,image/table_UNREL.png,image/table_UNREL2.png,UNREL,0
A,92,desk,deer,image/deskUNREL_negSOA.png,image/deskUNREL_negSOA2.png,UNREL,-150
A,93,skirt,skirt,image/skirtNEU_negSOA.png,image/skirtNEU_negSOA2.png,NEU,-150
A,94,church,rabbit,image/church_UNREL.png,image/church_UNREL2.png,UNREL,0
A,95,skirt,skirt,image/skirtID_posSOA.png,image/skirtID_posSOA2.png,ID,150
A,96,dagger,dagger,image/dagger_ID.png,image/dagger_ID2.png,ID,0
